user_id,movie_id,rating,timestamp,movie_title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,2,3.5,1112486027,Jumanji (1995),0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,29,3.5,1112484676,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
1,32,3.5,1112484819,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
1,47,3.5,1112484727,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,50,3.5,1112484580,"Usual Suspects, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1,112,3.5,1094785740,Rumble in the Bronx (Hont faan kui) (1995),1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,151,4.0,1094785734,Rob Roy (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,223,4.0,1112485573,Clerks (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,253,4.0,1112484940,Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,260,4.0,1112484826,Star Wars: Episode IV - A New Hope (1977),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,293,4.0,1112484703,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,296,4.0,1112484767,Pulp Fiction (1994),0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,318,4.0,1112484798,"Shawshank Redemption, The (1994)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,337,3.5,1094785709,What's Eating Gilbert Grape (1993),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,367,3.5,1112485980,"Mask, The (1994)",1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,541,4.0,1112484603,Blade Runner (1982),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1,589,3.5,1112485557,Terminator 2: Judgment Day (1991),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,593,3.5,1112484661,"Silence of the Lambs, The (1991)",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,653,3.0,1094785691,Dragonheart (1996),1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,919,3.5,1094785621,"Wizard of Oz, The (1939)",0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,924,3.5,1094785598,2001: A Space Odyssey (1968),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
