,movie_id,movie_title,score
0,1,Toy Story (1995),4.54857142858
1,2,Jumanji (1995),3.46571428572
2,3,Grumpier Old Men (1995),1.12285714286
3,4,Waiting to Exhale (1995),2.04857142857
4,5,Father of the Bride Part II (1995),0.874285714286
5,6,Heat (1995),2.76571428571
6,7,Sabrina (1995),1.12285714286
7,8,Tom and Huck (1995),1.97142857143
8,9,Sudden Death (1995),1.40571428571
9,10,GoldenEye (1995),3.88857142857
10,11,"American President, The (1995)",2.04857142857
11,12,Dracula: Dead and Loving It (1995),1.83714285714
12,13,Balto (1995),2.18
13,14,Nixon (1995),0.925714285714
14,15,Cutthroat Island (1995),3.23428571428
15,16,Casino (1995),1.38285714286
16,17,Sense and Sensibility (1995),1.17428571429
17,18,Four Rooms (1995),0.874285714286
18,19,Ace Ventura: When Nature Calls (1995),0.874285714286
19,20,Money Train (1995),4.56571428571
20,21,Get Shorty (1995),2.23428571429
21,22,Copycat (1995),3.62
22,23,Assassins (1995),2.76571428571
23,24,Powder (1995),1.77428571428
24,25,Leaving Las Vegas (1995),1.17428571429
25,26,Othello (1995),0.925714285714
26,27,Now and Then (1995),1.31714285714
27,28,Persuasion (1995),1.17428571429
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",5.22
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1.38285714286
30,31,Dangerous Minds (1995),0.925714285714
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),2.12285714286
32,33,Wings of Courage (1995),1.87714285714
33,34,Babe (1995),1.31714285714
34,35,Carrington (1995),1.17428571429
35,36,Dead Man Walking (1995),1.38285714286
36,37,Across the Sea of Time (1995),0.0485714285714
37,38,It Takes Two (1995),1.26571428571
38,39,Clueless (1995),1.12285714286
39,40,"Cry, the Beloved Country (1995)",0.925714285714
40,41,Richard III (1995),1.11428571429
41,42,Dead Presidents (1995),2.78857142857
42,43,Restoration (1995),0.925714285714
43,44,Mortal Kombat (1995),4.48
44,45,To Die For (1995),2.70285714286
45,46,How to Make an American Quilt (1995),1.17428571429
46,47,Seven (a.k.a. Se7en) (1995),1.27428571429
47,48,Pocahontas (1995),1.83714285714
48,49,When Night Is Falling (1995),1.17428571429
49,50,"Usual Suspects, The (1995)",1.73142857143
50,51,Guardian Angel (1994),3.23428571428
51,52,Mighty Aphrodite (1995),2.04857142857
52,53,Lamerica (1994),2.50571428571
53,54,"Big Green, The (1995)",1.26571428571
54,55,Georgia (1995),0.925714285714
55,56,Kids of the Round Table (1995),3.46571428572
56,57,Home for the Holidays (1995),0.925714285714
57,58,"Postman, The (Postino, Il) (1994)",2.04857142857
58,59,"Confessional, The (Confessionnal, Le) (1995)",1.29714285714
59,60,"Indian in the Cupboard, The (1995)",3.46571428572
60,61,Eye for an Eye (1996),1.82857142857
61,62,Mr. Holland's Opus (1995),0.925714285714
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1.33142857143
63,64,Two if by Sea (1996),1.12285714286
64,65,Bio-Dome (1996),0.874285714286
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),3.15714285714
66,67,Two Bits (1995),0.925714285714
67,68,French Twist (Gazon maudit) (1995),1.12285714286
68,69,Friday (1995),0.874285714286
69,70,From Dusk Till Dawn (1996),4.14571428571
70,71,Fair Game (1995),1.40571428571
71,72,Kicking and Screaming (1995),1.8
72,73,"Misérables, Les (1995)",1.11428571429
73,74,Bed of Roses (1996),1.17428571429
74,75,Big Bully (1996),1.8
75,76,Screamers (1995),3.15714285714
76,77,Nico Icon (1995),0.0
77,78,"Crossing Guard, The (1995)",3.69142857142
78,79,"Juror, The (1996)",1.82857142857
79,80,"White Balloon, The (Badkonake sefid) (1995)",1.31714285714
80,81,Things to Do in Denver When You're Dead (1995),1.63142857143
81,82,Antonia's Line (Antonia) (1995),1.8
82,83,Once Upon a Time... When We Were Colored (1995),1.17428571429
83,84,Last Summer in the Hamptons (1995),1.8
84,85,Angels and Insects (1995),1.17428571429
85,86,White Squall (1996),3.91142857142
86,87,Dunston Checks In (1996),1.26571428571
87,88,Black Sheep (1996),0.874285714286
88,89,Nick of Time (1995),2.30857142857
